wolof_word,word_type,english_meaning,wolof_phrase,english_phrase
ben,adv,"none, any",Ben leñu gisut.,We haven't seen none/any of them.
benacin,n,wolof dish,Elëk benecin laay dugga.,Tomorrow I'll shop for Wolof dish.
beneen,adj,"another, next one",Na beneen rot.,Let another one drop.
beneen,n,other,,
benna,adj,one,Benna yóon doyut.,One time is not enough.
bentenki,n,silk cotten tree,Nungi toog ci run béténki bi.,Weare sitting under the silk cotton tree.
beñe,v,to process the making of pancake,Nungee beñe ci waañ wi.,We are preparing pancakes in the kitchen.
beñe,n,"dough nuts, pancake",Beñe bi neex na.,The pancake is sweet.
beñuwaar,n,"washing pan, bath-pan",Maangee foót ci beñuwaar bi.,I am washing in washing pan.
beref,n,water melon,Beref bi neex na torop.,The melon is sweet(very).
beru,va,"to be isolated, withdrawn",Bërëb bi dafa beru.,The place is isolated.
besexeene,n,negligent,,
béejin,n,horn(animals),Xar bi amut beejin.,The sheep doesn't have horns.
bés,n,day,Bés la woon.,It was a day.
bés bu ay,n,week,Am naa fii benna bés mu aay.,I have here one week.
bés bu nekka,adj,everyday,Dafa dee ligeey si béj bu nekka.,He goes to work every day.
béy,n,goat,Béy bi weexut.,The goat is not white.
bëcëg/bëcëk,n,afternoon,Bëcëg bi tanga na.,The afternoon is hot.
bëcëk,n,noon,,
bëg,va,"to be be content, glad, happy",Dama bëg ci woxtaan wi.,I am content at the speech.
bërëb/barab,n,place,Fii bereb bu baax la.,Here is a good place.
bëy,v,to farm,Bëy dafa naxari.,To farm is difficult.
bëykat,n,farmer,Teeru bi amut beykat.,The urban area doesn't have farmers.
bëyukaay,n,"framing tools /, implements",Jenda naa ay beyukaay.,I bought some farming tools.
bi,adv,"variant for ""be""",,
bi,da,the,Néég bi.,The house.
bidaa,n,superstition,Lii bidaa la.,This is a superstition belief.
bii,dem,this one,Bii la bugga.,He wants this one.
bii,v,"to take, draw",,
bii,n,"today, nowadays",,
biig,n,last night,Biig nelewuloo.,"Last night, you did not sleep."
biij,v,"to bend, to sway, to twist",Dina biij bulon bi.,He will twist the screw
biir,n,"pregnancy, inside, stomach",Biir buy meeti.,Aching stomach.
biir,prep,inside,Ci biir waaň wi.,Inside the kitchen.
biir,va,"to be pregnant, inside, stomach",Suma jabar dafa biir.,My wife is pregnant.
biiw,v,to buzz around food espcially files,Weñ bangee biiw.,The fly is buzzing.
bijanti,v,"to rectify, to unbend",Bijanti naa suma njuumte gi.,I have rectified my mistake.
binda,v,to write,Binda am rafetut.,His writing is not attractive.
bindakat,n,writer,Suma mag bindakat la.,My older sister is a writer.
bindu,v,"to book oneself, to be employed especially as a maid",Dinaa bindu ci nguur gi.,I will be employed in the government.
bippa,v,to jerk,Bippa na reen bi.,He jerked the root.
bisaab/basaab,n,sorrel,Toogal ma bisaab bi.,Cook the sorrel for me.
bitarñeku,va,to be inside out,Mbubam bi dafa bitarnéku.,Her shirt is inside out.
biti,v,"to cover, wed, milk",,
biti,prep,out,Mungi ci biti,She is outside
biti,n,outside,,
bitiloxo,v,to strike with the back hand,Dafa ko bitiloxo,He striked him with the back hand
bon,adj,"be mean, pour, be bad",Waa ji ku bon la,He is a mean guy
bónaa,n,pierce,,
bón-bónna,n,hole,Palanteer bi am na bóna-bónaa,The window has a hole
bónna,v,to perforate,Bool bu bónna neexuta yekkee,A perforated bowl is not good for dishing
bón,n,tooth,Buddi na boň bi,He extracted the tooth
bóóbali,v,to yawn,Mangee bóóbali,I'm yawning
bóóf,v,to incubate,Ganaar gi munge boóf nen am yi,The chicken is incubating its eggs
bool,n,bowl,Bool bi uur na,The bowl is rusty
boole,v,"to add, mix, put together, report",Boole naa ko,I reported him
boolox,n,goitre,Dafa am boolox,He has a goitre
bóóm,v,to kill,Bóóm neñu béy yi yep,They've killed all the goats
boopa,n,"head, leader",Mooy boopa bi,He is the leader
boor,n,side,,
boot,v,to carry someone on the back,Boot na doómam bi,She carried her baby on her back
bór-bóri,v,to run about(expression),Looy bór-bóri?,What are you running about?
bori,v,"to run, flee",,
bori,n,"nose bleed, name",Suma baken duy bóri,My nose doesn't bleed
bórig,n,barrel,Taxawal ci kow bórig bi,Stand on the barrel
borom,n,the owner,Borom butik bi,The owner of the shop
bóróngu,n,roll on the ground,,
bórón,v,to roll,Boron bórig lu naxari la,To roll a barel is difficult
bos,pa,"possession, belonging, ownership",Caku bi suma bos la,The parrot is mine
bós,v,to massage,Bós ma,Massage me
bóta,v,to crawl under,Mun naa bóta ci ron lal bi,I am able to crawl under the bed
bótset/bórset,n,day break,Deñu waxtaan be botset,We chatted till day break
bów,v,to bark,Xaj bi bow na torop dëmba ci guddi,The dog barked a lot last night
boyet,n,box,Boyeti ooram bi leñu sacca,His jewelry box was stolen
böt,n,eye,Lu jot böt bi?,What's wrong with the eye?
bötset/börset,n,day break,Börset na,Its day break
bu,rp,(which is),Bu mag,Which is huge
buddi,v,"to uproot, to extract",Buddi boň dafa ragallu,Extracting a tooth is scary
bugga,v,"to want, like",Bugga naa jangi,I'd like to go for studies
buggé,va,"to be selfish, greedy, wanty",Nit ku buggé la,He is a greedy person
buja,v,"to beat, insult",Buja naa ko (derogatory),I beat him
bujul,v,to get away(profane),Yow bujul,You go to hell
bukki,n,"hynea, wolf",Loolu jooyi bukki la,That's a wolf cry
bulet,n,fish ball,Bulet la tooga tey,She cooked fish ball today
bulóo,va,to be blue,Bul faatee buloo suma yërë yi,Don't forget to blue my clothes
bunta,n,"door, department, section of an organisation",Mangee ligeey ci bunta bi yoore mbey mi,I work at the department of Agriculture
bureét,adj,all of a sudden(expressi),Bureet mu dow,All of a sudden he ran
buréy,n,"penny, two bututs",Buréy laa am,I have two bututs
burum,inten,fall (expression),Dafa daanu burum,He fell down badly
buruwet/puus-puus,n,wheel barrow,Brubbet bu eés la yooneé,He sent for a new wheel barrow
buteél,n,a bottle,Buteél bi toj na,The bottle has smashed
buton,n,botton,Tappal ma suma buton bi,Sew my button for me
buub,v,"to scoop, gather",Buubal mbalit bi,Gather the trash
buum,n,"piece of music, give allowance, rope",Jendal ma buum,Buy me a rope
buumi,n,queen,Kii buumi la,This lady is a Queen
buur,n,king,Suma maam buur la woon,My grand father was a king
buy,adj,"substantial, increase in, quantity",,
buy,n,baobab fruit,Jendal buy marse,Buy baobab fruit at the market
caa,ex,"ooh!-exclamation, surprise",Caa! dem na bayi ma,Ooh! He went and left me
caa,n,stew,,
caabi,n,key,Caabi moto laa amee,I'm holding a car key
caabi,v,to lock,Caabi na neeg bi,She locked the house
caacaay,n,mischieve,Caacaay gu bon leñu def,They did a very bad mischievous thing
caadi-caadi,v,to roll on the ground,Soo gisee ni muy caadi-caadee,If you see how he was rolling on the ground with pain
caaf,n,roasted peanuts,Indil ma caaf sooy now,Bring me roasted peanut when coming
caameñ,n,brother,Kii suma caameň la,This person is my brother
caamon,n,left hand,Bul lekkee sa caamon bi,don't eat with your left hand
caangaay,n,shroud,,
caapa,n,vagina,,
caas,n,"fishing line., tendon, muscle",Jén bi dog na caas bi,The fish has cut the fishing line
caat,n,last child of the parents,Caat mooy xoli waajur yi,The last child is the parents sweet heart
caaxaan,n,"a joke, be kidding",Lii caaxaan la,This is a joke
caaxaankat,n,"a joker, jester",Kii caaxaankat la,This person is a joker
caaxon,n,gills,Tuur na caaxon yi ci pax mi,He threw the gills in the gutter
caaya,n,local pants,Imaam bi caaya rek la soppa,The imam prefers local pants only
cabax,inten,stab(expression),paaka bi la ne cabax ci biiram bi,He stabbed him in his stomach
cabba,n,bunch,Mungi am cabba caabi,He has a bunch of keys
cacca,n,theft,Caaca bi doy na waar,The theft was terrible
cafko/cafka,n,flavour,Su amut cafko duy saf,If it doesn't have flavour it won't be tasty
cagga,n,"prostitute, whore, hooker",A prostitute is not good. Cagga baaxut.,A prostitute is not good.
caggatu,n,prostitution,Caggatu lu xaraam la,Prostitution is a forbidden thing
caku,n,parrot,,
can,va,to be stucked,Can na ci potopoto bi,He is stuck in the mud
carax,n,"flip-flaps, slippers",Denca naa suma carax yi,I kept my flip flops
cas,v,grab quickly (expression),Dafa ko ne cas,He grabbed it quickly
casgin,adj,"mood, trend",Nekkuma ci casgin bóobu,I am not in that mood
cat,n,"edge, woe, apex, ill-fortune, sharp-edge",Demal be ca cat bi nga turne,"Go up to the edge, you turn"
caw,v,to beat with tiny stick,Caw na xale bi ak banti bale,She beat the kid with a broom stick
cax,n,"puzzles, shark",Dimbale ma ci ay cax,Help me with some puzzles
caxxa,n,local beeds worn around the neck,Amuma caxa,I don't have local beeds
ceeb,n,rice,Ceeb bi dafa am sax,The rice has insects
cere,n,food made of millet(coos),Cere moo genaa neex maalo,Coos-coos is more delicious than rice
cet,n,"hygiene, cleaniness",Nit dafa wara cet,A person should be hynienic
céetal,n,honeymoon,Yaaxa na xaalis bu bari ci céetal am gi,He spent extravagantly during his honeymoon
céét,n,wedding ceremony,Ceét bi neex na,The wedding is fantistic
cële/cëla,n,"junction, cross-road",Fii cela la,Here is a junction
cër,n,"share, respect, body part",Cër la jox mag yi,He gave the elders respect
cërpi-cërpi,adj,jump about in a confuse manner,Looy cërpi-cërpi,What are you jumping about?
ci,prep,"in there, to, with, at",Dem na ci marse bi,He went to the market
ciif,n,provincial chief,,
ciin,n,gum,Ciin gu neewi,Swollen gum
cim/cem/cam,ex,expression of disgust,Mungee cim rek,He is expressing disgust
cin,n,"food, cooking pot",Cin li reyut,The cooking pot is not big
cof,v,to barely touch,Dafa cof seexa si,It barely touched the cock
cofel,n,faith,Cofel lu maaga la ci doom aadama,Faith is very important in a human being
cófit,ex,pick up quickly,Dafa ne mbuuru mi cofit.,He picked up the bread quickly.
colin,n,"way of dress, fashion",Sa colin bii neexuma.,I don't like your way of dressing.
compa,v,to take a small bit,Compa ci tuuti.,Take a small bit of it.
cóñcó,v,"to elbow, elbow",Dafa ko coñcó ci geéméň.,He elbowed him on his mouth.
coobare,n,"pleasure, whim, intention",Lii du suma coobare.,This is not my pleasure.
coof,n,name of a fish,Coof laa bugga tooga tey.,I want to coo fish(coof) today.
cooka,n,pubic hair,Watal sa cooka yi.,Shave your public hair.
cookeer,n,bush fowl-known to be wise,Dafa muus kom cookeér.,He is as wise as a bush fowl.
cóola,n,clitoris,Cóola dafa booka ci ceri jigeen.,Clitoris is part of the female organ.
coono,n,"difficulty, struggle, suffering",Mungee coonoo pur ñibi.,He is struggling to return back home.
cooral,v,to throw with fare,Dafa cooral xeer bi.,He threw the rock with fare.
coota,n,clitoris,,
coow,n,noise,Coow amut njériň.,Loud talk has no use.
coro,n,boy friend(lover),Amut coro dafa lamba.,"She doesn't have a lover, she is out dated."
cosaan,n,"tradition, custom",Njamu suñu cosaan la.,"Tatooing of the gum, lips and chin is our tradition."
cox,n,chaff,Joxal canaari yi cox bi.,Give the geese the chaff.
coy,n,"police(slang), parrot",Am naa coy.,I have a parrot.
cu,n,stew,Cu diwier laa genaa bugga.,Palm oil stew I like most.
cubalo,n,fisherman,Am naa xarit cubalo.,I have a fisherman friend.
cumbux,inten,plunge in(expression),Loxom bi la ne cumbux ci ndox mi.,She plunged her hand in the water.
cur/coy,inten,the colour of red very,Deret gi xonxa na cur.,The blood is very red.
curux,inten,slip in unexpectedly,Danga curux ci kabineet bi.,You slipped in the bedroom unexpectedly.
cus,n,"nipple, teat",Deň tuuti cus yi.,The nipples are small.
cuub,n,"dye, tye-dye",Cuub bi rafet na.,The dyed material is nice.
cuuc,n,chick,Cuuc bi dee na.,The chick died.
cuucu,n,penis (term used for small boys),,
cuuraa,n,porridge,Toogal cuuraa gerte.,Cook peanut porridge.
cuuraay,n,incense,Jaay ma cuuraay.,Sell me incense.
cuut/cuuc,v,to prick,Bul ma cuut.,Don't prick me.
cuuté/cuuce,va,to be something that pricks,Purse bangee cuuté.,The needle is pricking me.
cuxun,v,to poke,Mungee cuxuň saaket bi.,It is poking the fence.
daabuux,ex,"insert, stab",Baaraam bi la ne daaabuux ci biiram bi.,He stabbed his finger in his stomach.
daagu,v,"to walk very slow, lackadaisically",Jeeg bangee daagu.,The lady is walking very slowly.
daaj,v,to nail,Daaj na ban bi.,He nailed the stool.
daaj,n,nail,,
daaju,va,to be drunk,Kii daaju rek la bugga.,He likes being drunk.
daajukat,n,drunkard,Moom mooy daajukat bi.,He is the drunkard.
daakaande,n,"gum, starch, to apply staarch/gum",Dama dee daakande yeere yi.,I always starch the clothes.
daal,ex,expression of certainty,Yow daal nii rek.,You! Always like this.
daala,n,"shoe, beside",Daala bu ees.,A new shoe.
daala,postp,"near, beside",,
daan,v,used to,Dama daan napa jën.,I used to catch fish.
daan,v,to defeat,Daan na mbór mi.,He defeated the wrestler.
daanel,v,"to knock down, bring down",Daanel naa ko.,I knock him down.
daanu,v,to fall down,Njëg bi daanu na torop.,The price has fallen very much.
daani-daani,ex,to run,Mungee daani-daani.,She is running.
daas,v,"to whet/sharpen, bribe",Paaka bi laay daas.,I am sharpening the knife.
daaw,n,last year,Daaw laa jeexal janga.,I finished school last year.
daaw jéeg,n,year before last,Daaw jéeg la taw bi genaa bari.,The rain was more year before last.
daaxa,v,"to drive away, better than, turn down, surprise",Maa la daaxa dawal moto.,I can drive better than you.
daaxa,va,"to be drive away, better than, turn down, surprise",Dama ko daaxa.,I drove him away.
daaxee,v,to run after someone/thing,Bul ko daaxee.,Don't run after him.
dab,v,to meet something/someone on the way,Dab naa suma baaneex.,I am meeting my desires.
dafa,vp,predictor 3rd person singular,Dafa feebar.,He is sick.
dag,n,a royal servant,Kii dag la.,She is a royal servant.
dagaan,v,"to worship, adore",Dagaan yaala lu baaxla.,To worship God is a very good thing.
dagan,n,"obligatory, be necessary",Juli woxtu yi juroom dafa dagan.,It's obligatory to pray five times daily.
dagit,n,local African blouse,Sa dagit gi dafa rafet.,Your blouse is beautiful.
daj,v,"to encounter, grope",Li me daj ci fan yii meeti na.,What I encountered these days was difficult.
dajale nax,n,mulching,,
dajaloo,v,to gather together,Dajaloo neñu ci bunti kër gi.,We are gathering together at the gate.
dajee,v,"to meet with, meet",Dinaa dajee ak moom.,I will meet up with her.
dal,v,"to land, lodge, knock on something, confront(slang)",Fii la dal,I am lodging here.
dalasi/dérém,n,"(100b), unit of The Gambia currency",Am naa fukki dalasi.,I have ten dalasis.
daldi,adj,"immediately, as soon as, start to",Ma daldi dem Banjul.,I went to Banjul immediately.
dama,vp,"verb predicator 1st Ps., I am",Dama taayi.,I am tired.
dampa,v,to massage,Dampa ma lel.,Massage me please.
danga,vp,2nd singular(you're),Danga bëg.,You are glad.
danka,v,"to make a fist, curse, to form balls when eating food with the hand",Munuma danka suma loxo bi tey.,I cannot make a fist with my hand today.
dan,va,to be tight,Tubeey bi dan na.,The pants are tight.
dani-dani,v,to run helter skelter,Waa jangee dani-dani rek.,The guy is running helter-skelter.
dar,v,to plaster a floor,Dar na peron bi.,He plastered the veranda.
dara,n,"naught, nothing, something",Amuma dara.,I have nothing.
daraayba,n,driver,"Daraayba, so'ffoor, dawlkat ebbal suma bagaas yi.",Driver load my luggages.
darab,n,"bed sheet, sheet",Lalal darab bi ci kow lal bi.,Spread the sheet on the bed.
daraja,adj,famous,,
daraja,n,"dignity, prestige, fame",Amaatut daraja.,He doesn't have prestige anyone.
daral,v,"to home or (for animals), rebuke someone, rebuke, speak bitterly against someone",Bul ma daral ci yefi tarde.,Do not rebuke me about lateness.
daw,v,to run,Saccakat bi ku muna daw la.,The thief can run very fast.
dawal,v,"to run(imperative), to drive, deposit",Maangee dawal oto bu raffet.,I am driving a beautiful car.
dawalkat,n,"driver, rider",Moom du dawal kati gaal.,He is not a boat pilot.
dawume,n,embroidery,Sa dawume bi jeéka na.,Your embroidery is gorgeous.
daxaar,n,tamarind,Daxaar dafa forox.,Tamarind is sour.
day,n,"faeces, defecate, a lie, stool",Dafay day.,He is lying.
dee,v,"to die, be quiet, silent",Xar bi dee na.,The sheep is died.
dee,vn,"silence, keeping quiet",,
deebal,n,giant,Kii deebal la.,This person is a giant.
deekali,v,"to revive, resurrect",Deekali ngeen woxtaan bi.,You've revived the discussion.
deeki,v,"to revive, return to live",Wox ji deeki na.,The conversation has resurrected.
